instance,inicio_local,fim_local,duracao_segundos,duracao_minutos
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 17:06:09 -0300,2026-09-06 17:07:09 -0300,120,2.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 17:11:09 -0300,2026-09-06 17:11:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-06 17:28:09 -0300,2026-09-06 17:28:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 17:29:09 -0300,2026-09-06 17:29:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 17:33:09 -0300,2026-09-06 17:33:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 17:36:09 -0300,2026-09-06 17:36:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-06 17:49:09 -0300,2026-09-06 17:49:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 17:50:09 -0300,2026-09-06 17:50:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-06 17:52:09 -0300,2026-09-06 17:52:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 18:02:09 -0300,2026-09-06 18:02:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 18:05:09 -0300,2026-09-06 18:09:09 -0300,300,5.0
https://www.google.com/generate_204,2026-09-06 18:05:09 -0300,2026-09-06 18:05:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-06 18:10:09 -0300,2026-09-06 18:10:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 18:15:09 -0300,2026-09-06 18:15:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 18:22:09 -0300,2026-09-06 18:22:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 18:25:09 -0300,2026-09-06 18:26:09 -0300,120,2.0
https://www.google.com/generate_204,2026-09-06 18:25:09 -0300,2026-09-06 18:25:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 18:47:09 -0300,2026-09-06 18:47:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 18:50:09 -0300,2026-09-06 18:50:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-06 22:41:09 -0300,2026-09-06 22:41:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-07 08:07:09 -0300,2026-09-07 08:07:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-07 10:08:09 -0300,2026-09-07 10:08:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-07 10:53:09 -0300,2026-09-07 10:53:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-07 11:04:09 -0300,2026-09-07 11:04:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-07 11:09:09 -0300,2026-09-07 11:09:09 -0300,60,1.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-07 11:13:09 -0300,2026-09-07 11:13:09 -0300,60,1.0
https://www.google.com/generate_204,2026-09-07 11:38:09 -0300,2026-09-07 11:45:09 -0300,480,8.0
https://www.cloudflare.com/cdn-cgi/trace,2026-09-07 11:42:09 -0300,2026-09-07 11:42:09 -0300,60,1.0
