instance,inicio_local,fim_local,inicio_utc,fim_utc,duracao_segundos,duracao_minutos
1.1.1.1,2026-09-04 09:00:09 -0300,2026-09-04 09:00:09 -0300,2026-09-04 12:00:09 UTC,2026-09-04 12:00:09 UTC,60,1.0
1.1.1.1,2026-09-04 09:07:09 -0300,2026-09-04 09:07:09 -0300,2026-09-04 12:07:09 UTC,2026-09-04 12:07:09 UTC,60,1.0
1.1.1.1,2026-09-04 17:49:09 -0300,2026-09-04 17:49:09 -0300,2026-09-04 20:49:09 UTC,2026-09-04 20:49:09 UTC,60,1.0
1.1.1.1,2026-09-04 18:44:09 -0300,2026-09-04 18:46:09 -0300,2026-09-04 21:44:09 UTC,2026-09-04 21:46:09 UTC,180,3.0
8.8.8.8,2026-09-04 18:44:09 -0300,2026-09-04 18:48:09 -0300,2026-09-04 21:44:09 UTC,2026-09-04 21:48:09 UTC,300,5.0
1.1.1.1,2026-09-04 18:51:09 -0300,2026-09-04 18:53:09 -0300,2026-09-04 21:51:09 UTC,2026-09-04 21:53:09 UTC,180,3.0
8.8.8.8,2026-09-04 18:52:09 -0300,2026-09-04 18:53:09 -0300,2026-09-04 21:52:09 UTC,2026-09-04 21:53:09 UTC,120,2.0
1.1.1.1,2026-09-04 19:00:09 -0300,2026-09-04 19:00:09 -0300,2026-09-04 22:00:09 UTC,2026-09-04 22:00:09 UTC,60,1.0
8.8.8.8,2026-09-04 19:02:09 -0300,2026-09-04 19:02:09 -0300,2026-09-04 22:02:09 UTC,2026-09-04 22:02:09 UTC,60,1.0
8.8.8.8,2026-09-04 20:01:09 -0300,2026-09-04 20:04:09 -0300,2026-09-04 23:01:09 UTC,2026-09-04 23:04:09 UTC,240,4.0
1.1.1.1,2026-09-04 20:04:09 -0300,2026-09-04 20:04:09 -0300,2026-09-04 23:04:09 UTC,2026-09-04 23:04:09 UTC,60,1.0
1.1.1.1,2026-09-04 21:11:09 -0300,2026-09-04 21:11:09 -0300,2026-09-05 00:11:09 UTC,2026-09-05 00:11:09 UTC,60,1.0
8.8.8.8,2026-09-04 21:11:09 -0300,2026-09-04 21:11:09 -0300,2026-09-05 00:11:09 UTC,2026-09-05 00:11:09 UTC,60,1.0
8.8.8.8,2026-09-04 21:39:09 -0300,2026-09-04 21:40:09 -0300,2026-09-05 00:39:09 UTC,2026-09-05 00:40:09 UTC,120,2.0
8.8.8.8,2026-09-05 08:21:09 -0300,2026-09-05 08:22:09 -0300,2026-09-05 11:21:09 UTC,2026-09-05 11:22:09 UTC,120,2.0
8.8.8.8,2026-09-05 08:39:09 -0300,2026-09-05 08:44:09 -0300,2026-09-05 11:39:09 UTC,2026-09-05 11:44:09 UTC,360,6.0
1.1.1.1,2026-09-05 08:40:09 -0300,2026-09-05 08:40:09 -0300,2026-09-05 11:40:09 UTC,2026-09-05 11:40:09 UTC,60,1.0
1.1.1.1,2026-09-05 08:43:09 -0300,2026-09-05 08:43:09 -0300,2026-09-05 11:43:09 UTC,2026-09-05 11:43:09 UTC,60,1.0
1.1.1.1,2026-09-05 08:46:09 -0300,2026-09-05 08:47:09 -0300,2026-09-05 11:46:09 UTC,2026-09-05 11:47:09 UTC,120,2.0
8.8.8.8,2026-09-05 08:49:09 -0300,2026-09-05 08:49:09 -0300,2026-09-05 11:49:09 UTC,2026-09-05 11:49:09 UTC,60,1.0
1.1.1.1,2026-09-05 09:00:09 -0300,2026-09-05 09:02:09 -0300,2026-09-05 12:00:09 UTC,2026-09-05 12:02:09 UTC,180,3.0
8.8.8.8,2026-09-05 09:01:09 -0300,2026-09-05 09:04:09 -0300,2026-09-05 12:01:09 UTC,2026-09-05 12:04:09 UTC,240,4.0
1.1.1.1,2026-09-05 09:07:09 -0300,2026-09-05 09:07:09 -0300,2026-09-05 12:07:09 UTC,2026-09-05 12:07:09 UTC,60,1.0
8.8.8.8,2026-09-05 09:07:09 -0300,2026-09-05 09:07:09 -0300,2026-09-05 12:07:09 UTC,2026-09-05 12:07:09 UTC,60,1.0
8.8.8.8,2026-09-05 09:38:09 -0300,2026-09-05 09:40:09 -0300,2026-09-05 12:38:09 UTC,2026-09-05 12:40:09 UTC,180,3.0
1.1.1.1,2026-09-05 09:41:09 -0300,2026-09-05 09:41:09 -0300,2026-09-05 12:41:09 UTC,2026-09-05 12:41:09 UTC,60,1.0
1.1.1.1,2026-09-05 09:44:09 -0300,2026-09-05 09:44:09 -0300,2026-09-05 12:44:09 UTC,2026-09-05 12:44:09 UTC,60,1.0
8.8.8.8,2026-09-05 09:44:09 -0300,2026-09-05 09:44:09 -0300,2026-09-05 12:44:09 UTC,2026-09-05 12:44:09 UTC,60,1.0
1.1.1.1,2026-09-05 09:53:09 -0300,2026-09-05 09:53:09 -0300,2026-09-05 12:53:09 UTC,2026-09-05 12:53:09 UTC,60,1.0
8.8.8.8,2026-09-05 09:53:09 -0300,2026-09-05 09:55:09 -0300,2026-09-05 12:53:09 UTC,2026-09-05 12:55:09 UTC,180,3.0
8.8.8.8,2026-09-05 09:58:09 -0300,2026-09-05 09:59:09 -0300,2026-09-05 12:58:09 UTC,2026-09-05 12:59:09 UTC,120,2.0
8.8.8.8,2026-09-05 10:02:09 -0300,2026-09-05 10:04:09 -0300,2026-09-05 13:02:09 UTC,2026-09-05 13:04:09 UTC,180,3.0
1.1.1.1,2026-09-05 11:53:09 -0300,2026-09-05 12:04:09 -0300,2026-09-05 14:53:09 UTC,2026-09-05 15:04:09 UTC,720,12.0
8.8.8.8,2026-09-05 11:54:09 -0300,2026-09-05 11:54:09 -0300,2026-09-05 14:54:09 UTC,2026-09-05 14:54:09 UTC,60,1.0
8.8.8.8,2026-09-05 11:57:09 -0300,2026-09-05 11:58:09 -0300,2026-09-05 14:57:09 UTC,2026-09-05 14:58:09 UTC,120,2.0
8.8.8.8,2026-09-05 12:04:09 -0300,2026-09-05 12:04:09 -0300,2026-09-05 15:04:09 UTC,2026-09-05 15:04:09 UTC,60,1.0
1.1.1.1,2026-09-05 12:08:09 -0300,2026-09-05 12:08:09 -0300,2026-09-05 15:08:09 UTC,2026-09-05 15:08:09 UTC,60,1.0
1.1.1.1,2026-09-05 15:03:09 -0300,2026-09-05 15:03:09 -0300,2026-09-05 18:03:09 UTC,2026-09-05 18:03:09 UTC,60,1.0
8.8.8.8,2026-09-05 15:03:09 -0300,2026-09-05 15:04:09 -0300,2026-09-05 18:03:09 UTC,2026-09-05 18:04:09 UTC,120,2.0
192.168.3.1,2026-09-05 15:43:09 -0300,2026-09-05 15:53:09 -0300,2026-09-05 18:43:09 UTC,2026-09-05 18:53:09 UTC,660,11.0
1.1.1.1,2026-09-05 15:43:09 -0300,2026-09-05 15:51:09 -0300,2026-09-05 18:43:09 UTC,2026-09-05 18:51:09 UTC,540,9.0
8.8.8.8,2026-09-05 15:43:09 -0300,2026-09-05 15:53:09 -0300,2026-09-05 18:43:09 UTC,2026-09-05 18:53:09 UTC,660,11.0
1.1.1.1,2026-09-05 15:55:09 -0300,2026-09-05 15:59:09 -0300,2026-09-05 18:55:09 UTC,2026-09-05 18:59:09 UTC,300,5.0
8.8.8.8,2026-09-05 15:56:09 -0300,2026-09-05 15:58:09 -0300,2026-09-05 18:56:09 UTC,2026-09-05 18:58:09 UTC,180,3.0
1.1.1.1,2026-09-05 16:02:09 -0300,2026-09-05 16:03:09 -0300,2026-09-05 19:02:09 UTC,2026-09-05 19:03:09 UTC,120,2.0
8.8.8.8,2026-09-05 16:02:09 -0300,2026-09-05 16:03:09 -0300,2026-09-05 19:02:09 UTC,2026-09-05 19:03:09 UTC,120,2.0
192.168.3.1,2026-09-05 16:08:09 -0300,2026-09-05 16:15:09 -0300,2026-09-05 19:08:09 UTC,2026-09-05 19:15:09 UTC,480,8.0
1.1.1.1,2026-09-05 16:08:09 -0300,2026-09-05 16:15:09 -0300,2026-09-05 19:08:09 UTC,2026-09-05 19:15:09 UTC,480,8.0
8.8.8.8,2026-09-05 16:08:09 -0300,2026-09-05 16:16:09 -0300,2026-09-05 19:08:09 UTC,2026-09-05 19:16:09 UTC,540,9.0
1.1.1.1,2026-09-05 20:32:09 -0300,2026-09-05 20:32:09 -0300,2026-09-05 23:32:09 UTC,2026-09-05 23:32:09 UTC,60,1.0
1.1.1.1,2026-09-05 20:35:09 -0300,2026-09-05 20:37:09 -0300,2026-09-05 23:35:09 UTC,2026-09-05 23:37:09 UTC,180,3.0
1.1.1.1,2026-09-05 22:28:09 -0300,2026-09-05 22:28:09 -0300,2026-09-06 01:28:09 UTC,2026-09-06 01:28:09 UTC,60,1.0
1.1.1.1,2026-09-06 03:37:09 -0300,2026-09-06 03:39:09 -0300,2026-09-06 06:37:09 UTC,2026-09-06 06:39:09 UTC,180,3.0
8.8.8.8,2026-09-06 03:38:09 -0300,2026-09-06 03:38:09 -0300,2026-09-06 06:38:09 UTC,2026-09-06 06:38:09 UTC,60,1.0
8.8.8.8,2026-09-06 03:41:09 -0300,2026-09-06 03:41:09 -0300,2026-09-06 06:41:09 UTC,2026-09-06 06:41:09 UTC,60,1.0
1.1.1.1,2026-09-06 07:42:09 -0300,2026-09-06 07:42:09 -0300,2026-09-06 10:42:09 UTC,2026-09-06 10:42:09 UTC,60,1.0
1.1.1.1,2026-09-06 07:51:09 -0300,2026-09-06 07:51:09 -0300,2026-09-06 10:51:09 UTC,2026-09-06 10:51:09 UTC,60,1.0
8.8.8.8,2026-09-06 07:51:09 -0300,2026-09-06 07:53:09 -0300,2026-09-06 10:51:09 UTC,2026-09-06 10:53:09 UTC,180,3.0
1.1.1.1,2026-09-06 08:56:09 -0300,2026-09-06 08:57:09 -0300,2026-09-06 11:56:09 UTC,2026-09-06 11:57:09 UTC,120,2.0
8.8.8.8,2026-09-06 08:56:09 -0300,2026-09-06 08:59:09 -0300,2026-09-06 11:56:09 UTC,2026-09-06 11:59:09 UTC,240,4.0
1.1.1.1,2026-09-06 09:01:09 -0300,2026-09-06 09:01:09 -0300,2026-09-06 12:01:09 UTC,2026-09-06 12:01:09 UTC,60,1.0
8.8.8.8,2026-09-06 09:19:09 -0300,2026-09-06 09:19:09 -0300,2026-09-06 12:19:09 UTC,2026-09-06 12:19:09 UTC,60,1.0
8.8.8.8,2026-09-06 09:24:09 -0300,2026-09-06 09:25:09 -0300,2026-09-06 12:24:09 UTC,2026-09-06 12:25:09 UTC,120,2.0
1.1.1.1,2026-09-06 09:27:09 -0300,2026-09-06 09:27:09 -0300,2026-09-06 12:27:09 UTC,2026-09-06 12:27:09 UTC,60,1.0
8.8.8.8,2026-09-06 09:45:09 -0300,2026-09-06 09:47:09 -0300,2026-09-06 12:45:09 UTC,2026-09-06 12:47:09 UTC,180,3.0
